#  cD     cE       density     E/A_snm       E/A_pnm     snm_converge_flag 
-3.00   -0.25     0.20    -15.99920610     0.00000000         1
-2.00   -0.25     0.12    -13.54149581     0.00000000         1
-2.00   -0.25     0.14    -14.16404000     0.00000000         1
-2.00   -0.25     0.16    -14.49620643     0.00000000         1
-2.00   -0.25     0.18    -14.51298441     0.00000000         1
-2.00   -0.25     0.20    -14.19675217     0.00000000         1
-1.00   -0.25     0.12    -12.80426468     0.00000000         1
-1.00   -0.25     0.14    -13.37268063     0.00000000         1
-1.00   -0.25     0.16    -13.63129368     0.00000000         1
-1.00   -0.25     0.18    -13.55184676     0.00000000         1
-1.00   -0.25     0.20    -13.11556639     0.00000000         1
 0.00   -0.25     0.12    -12.34165153     0.00000000         1
 0.00   -0.25     0.14    -12.91102921     0.00000000         1
 0.00   -0.25     0.16    -13.15746892     0.00000000         1
 0.00   -0.25     0.18    -13.05229529     0.00000000         1
 0.00   -0.25     0.20    -12.57803608     0.00000000         1
 1.00   -0.25     0.12    -12.09434731     0.00000000         1
 1.00   -0.25     0.14    -12.70574794     0.00000000         1
 1.00   -0.25     0.16    -12.98905603     0.00000000         1
 1.00   -0.25     0.18    -12.91821307     0.00000000         1
 1.00   -0.25     0.20    -12.48004621     0.00000000         1
 2.00   -0.25     0.12    -12.01847862     0.00000000         1
 2.00   -0.25     0.14    -12.70575090     0.00000000         1
 2.00   -0.25     0.16    -13.06956633     0.00000000         1
 2.00   -0.25     0.18    -13.08972714     0.00000000         1
 2.00   -0.25     0.20    -12.76114964     0.00000000         1
 3.00   -0.25     0.12    -12.08228546     0.00000000         1
 3.00   -0.25     0.14    -12.87598675     0.00000000         1
 3.00   -0.25     0.16    -13.36216265     0.00000000         1
 3.00   -0.25     0.18    -13.53012344     0.00000000         1
 3.00   -0.25     0.20    -13.38783152     0.00000000         1
-3.00    0.00     0.12    -16.35423926     0.00000000         1
-3.00    0.00     0.14    -17.38927022     0.00000000         1
-3.00    0.00     0.16    -18.20255547     0.00000000         1
-3.00    0.00     0.18    -18.78140691     0.00000000         1
-3.00    0.00     0.20    -19.11572107     0.00000000         1
-2.00    0.00     0.12    -14.86821458     0.00000000         1
-2.00    0.00     0.14    -15.67545803     0.00000000         1
-2.00    0.00     0.16    -16.22598799     0.00000000         1
