#  cD     cE       density     E/A_snm       E/A_pnm 
 2.00    0.75     0.15    -16.82993303     12.23089758 
 2.00    0.75     0.17    -17.64780333     14.05818984 
 2.00    0.75     0.19    -18.21336019     16.14494970 
 2.00    0.75     0.21    -18.50081877     18.47499713 
 2.00    0.75     0.23    -18.49526962     21.02020181 
 2.50    0.75     0.15    -16.50974177     12.23089758 
 2.50    0.75     0.17    -17.33755605     14.05818984 
 2.50    0.75     0.19    -17.90964479     16.14494970 
 2.50    0.75     0.21    -18.20084839     18.47499713 
 2.50    0.75     0.23    -18.19796458     21.02020181 
 3.00    0.75     0.15    -16.28376707     12.23089758 
 3.00    0.75     0.17    -17.14053009     14.05818984 
 3.00    0.75     0.19    -17.74088570     16.14494970 
 3.00    0.75     0.21    -18.06112852     18.47499713 
 3.00    0.75     0.23    -18.09076576     21.02020181 
-3.00    1.00     0.15    -34.09875346     12.23089758 
-3.00    1.00     0.17    -41.39173553     14.05818984 
-3.00    1.00     0.19    -44.10221808     16.14494971 
-3.00    1.00     0.21    -50.81672882     18.47499714 
-3.00    1.00     0.23    -50.39955301     21.02020181 
-2.50    1.00     0.15    -31.25639354     12.23089758 
-2.50    1.00     0.17    -35.81084798     14.05818984 
-2.50    1.00     0.19    -1115.40224370     16.14494971 
-2.50    1.00     0.21    -189.21735644     18.47499714 
-2.50    1.00     0.23    -43.47755641     21.02020181 
-2.00    1.00     0.15    -28.78912421     12.23089758 
-2.00    1.00     0.17    -32.11110454     14.05818984 
-2.00    1.00     0.19    -36.61637933     16.14494970 
-2.00    1.00     0.21    -48.24160545     18.47499713 
-2.00    1.00     0.23    -46.32601699     21.02020181 
-1.50    1.00     0.15    -26.64180490     12.23089758 
-1.50    1.00     0.17    -29.21243737     14.05818984 
-1.50    1.00     0.19    -32.09991984     16.14494970 
-1.50    1.00     0.21    -35.73788346     18.47499713 
-1.50    1.00     0.23    -41.95982079     21.02020180 
-1.00    1.00     0.15    -24.78109337     12.23089758 
-1.00    1.00     0.17    -26.83942475     14.05818984 
-1.00    1.00     0.19    -28.92095436     16.14494970 
-1.00    1.00     0.21    -31.08705322     18.47499713 
-1.00    1.00     0.23    -33.47679404     21.02020181 
-0.50    1.00     0.15    -23.18104316     12.23089758 
-0.50    1.00     0.17    -24.87463105     14.05818984 
-0.50    1.00     0.19    -26.46739255     16.14494970 
-0.50    1.00     0.21    -27.95262397     18.47499713 
-0.50    1.00     0.23    -29.33615676     21.02020181 
 0.00    1.00     0.15    -21.81794209     12.23089758 
 0.00    1.00     0.17    -23.24937083     14.05818984 
 0.00    1.00     0.19    -24.52114932     16.14494970 
 0.00    1.00     0.21    -25.61196076     18.47499713 
 0.00    1.00     0.23    -26.50777539     21.02020181 
 0.50    1.00     0.15    -20.66870125     12.23089758 
 0.50    1.00     0.17    -21.91367525     14.05818984 
 0.50    1.00     0.19    -22.96838164     16.14494970 
 0.50    1.00     0.21    -23.80815768     18.47499713 
 0.50    1.00     0.23    -24.41571868     21.02020181 
 1.00    1.00     0.15    -19.71077309     12.23089758 
 1.00    1.00     0.17    -20.82681039     14.05818984 
 1.00    1.00     0.19    -21.73486706     16.14494970 
 1.00    1.00     0.21    -22.40905424     18.47499713 
 1.00    1.00     0.23    -22.83141304     21.02020180 
 1.50    1.00     0.15    -18.92266394     12.23089758 
 1.50    1.00     0.17    -19.95427063     14.05818984 
 1.50    1.00     0.19    -20.76640883     16.14494970 
 1.50    1.00     0.21    -21.33223544     18.47499713 
 1.50    1.00     0.23    -21.63351813     21.02020180 
 2.00    1.00     0.15    -18.28454763     12.23089758 
 2.00    1.00     0.17    -19.26683095     14.05818983 
 2.00    1.00     0.19    -20.02158006     16.14494970 
 2.00    1.00     0.21    -20.52117871     18.47499713 
 2.00    1.00     0.23    -20.74743483     21.02020180 
 2.50    1.00     0.15    -17.77871124     12.23089758 
 2.50    1.00     0.17    -18.74007811     14.05818983 
 2.50    1.00     0.19    -19.46829374     16.14494970 
 2.50    1.00     0.21    -19.93538171     18.47499713 
 2.50    1.00     0.23    -20.12372402     21.02020180 
 3.00    1.00     0.15    -17.38976278     12.23089758 
 3.00    1.00     0.17    -18.35396706     14.05818983 
 3.00    1.00     0.19    -19.08168780     16.14494970 
 3.00    1.00     0.21    -19.54525179     18.47499713 
 3.00    1.00     0.23    -19.72834769     21.02020180 
