#  cD     cE       density     E/A_snm       E/A_pnm 
 1.50   -0.75     0.21    -13.05585346     18.47499717 
 1.50   -0.75     0.23    -12.50901632     21.02020185 
 2.00   -0.75     0.15    -13.03591136     12.23089759 
 2.00   -0.75     0.17    -13.58191091     14.05818986 
 2.00   -0.75     0.19    -13.80311023     16.14494973 
 2.00   -0.75     0.21    -13.71761156     18.47499717 
 2.00   -0.75     0.23    -13.38178719     21.02020185 
 2.50   -0.75     0.15    -13.32794467     12.23089759 
 2.50   -0.75     0.17    -14.00969124     14.05818986 
 2.50   -0.75     0.19    -14.39077499     16.14494973 
 2.50   -0.75     0.21    -14.50159236     18.47499717 
 2.50   -0.75     0.23    -14.41890164     21.02020185 
 3.00   -0.75     0.15    -13.67173449     12.23089759 
 3.00   -0.75     0.17    -14.50666386     14.05818985 
 3.00   -0.75     0.19    -15.07079940     16.14494973 
 3.00   -0.75     0.21    -15.40977064     18.47499717 
 3.00   -0.75     0.23    -15.62551797     21.02020185 
-3.00   -0.50     0.15    -14.60731263     12.23089759 
-3.00   -0.50     0.17    -14.88637185     14.05818986 
-3.00   -0.50     0.19    -14.86369701     16.14494973 
-3.00   -0.50     0.21    -14.52461201     18.47499717 
-3.00   -0.50     0.23    -13.86286128     21.02020185 
-2.50   -0.50     0.15    -14.11371814     12.23089759 
-2.50   -0.50     0.17    -14.33586358     14.05818986 
-2.50   -0.50     0.19    -14.24129297     16.14494973 
-2.50   -0.50     0.21    -13.81427751     18.47499717 
-2.50   -0.50     0.23    -13.04834307     21.02020185 
-2.00   -0.50     0.15    -13.71910285     12.23089759 
-2.00   -0.50     0.17    -13.90551385     14.05818986 
-2.00   -0.50     0.19    -13.76250759     16.14494973 
-2.00   -0.50     0.21    -13.27364957     18.47499717 
-2.00   -0.50     0.23    -12.43266969     21.02020185 
-1.50   -0.50     0.15    -13.41364552     12.23089759 
-1.50   -0.50     0.17    -13.58331803     14.05818986 
-1.50   -0.50     0.19    -13.41319829     16.14494973 
-1.50   -0.50     0.21    -12.88657154     18.47499717 
-1.50   -0.50     0.23    -11.99791380     21.02020185 
-1.00   -0.50     0.15    -13.18926670     12.23089759 
-1.00   -0.50     0.17    -13.35978417     14.05818986 
-1.00   -0.50     0.19    -13.18264233     16.14494973 
-1.00   -0.50     0.21    -12.64138217     18.47499717 
-1.00   -0.50     0.23    -11.73193697     21.02020185 
-0.50   -0.50     0.15    -13.03939118     12.23089759 
-0.50   -0.50     0.17    -13.22746458     14.05818985 
-0.50   -0.50     0.19    -13.06276969     16.14494973 
-0.50   -0.50     0.21    -12.52976792     18.47499716 
-0.50   -0.50     0.23    -11.62676910     21.02020185 
 0.00   -0.50     0.15    -12.95870475     12.23089759 
 0.00   -0.50     0.17    -13.18055505     14.05818985 
 0.00   -0.50     0.19    -13.04756833     16.14494973 
 0.00   -0.50     0.21    -12.54594396     18.47499716 
 0.00   -0.50     0.23    -11.67754105     21.02020185 
 0.50   -0.50     0.15    -12.94293517     12.23089759 
 0.50   -0.50     0.17    -13.21456177     14.05818985 
 0.50   -0.50     0.19    -13.13262666     16.14494973 
 0.50   -0.50     0.21    -12.68606389     18.47499716 
 0.50   -0.50     0.23    -11.88175513     21.02020185 
 1.00   -0.50     0.15    -12.98866097     12.23089759 
 1.00   -0.50     0.17    -13.32603161     14.05818985 
 1.00   -0.50     0.19    -13.31477967     16.14494973 
 1.00   -0.50     0.21    -12.94779226     18.47499716 
 1.00   -0.50     0.23    -12.23877350     21.02020184 
 1.50   -0.50     0.15    -13.09315049     12.23089759 
 1.50   -0.50     0.17    -13.51233300     14.05818985 
 1.50   -0.50     0.19    -13.59183897     16.14494973 
 1.50   -0.50     0.21    -13.32994884     18.47499716 
 1.50   -0.50     0.23    -12.74944047     21.02020184 
 2.00   -0.50     0.15    -13.25422459     12.23089759 
 2.00   -0.50     0.17    -13.77148428     14.05818985 
 2.00   -0.50     0.19    -13.96238116     16.14494973 
 2.00   -0.50     0.21    -13.83231808     18.47499716 
 2.00   -0.50     0.23    -13.41580176     21.02020184 
 2.50   -0.50     0.15    -13.47015543     12.23089759 
 2.50   -0.50     0.17    -14.10202083     14.05818985 
 2.50   -0.50     0.19    -14.42557809     16.14494972 
 2.50   -0.50     0.21    -14.45539651     18.47499716 
 2.50   -0.50     0.23    -14.24088581     21.02020185 
 3.00   -0.50     0.15    -13.73956903     12.23089759 
 3.00   -0.50     0.17    -14.50288202     14.05818985 
 3.00   -0.50     0.19    -14.98109993     16.14494972 
 3.00   -0.50     0.21    -15.20030768     18.47499716 
 3.00   -0.50     0.23    -15.22854833     21.02020184 
-3.00   -0.25     0.15    -16.23608294     12.23089759 
-3.00   -0.25     0.17    -16.76034910     14.05818985 
-3.00   -0.25     0.19    -17.02294728     16.14494973 
-3.00   -0.25     0.21    -17.00967673     18.47499716 
-3.00   -0.25     0.23    -16.71373871     21.02020184 
-2.50   -0.25     0.15    -15.54265006     12.23089759 
-2.50   -0.25     0.17    -15.97083026     14.05818985 
-2.50   -0.25     0.19    -16.11874218     16.14494973 
-2.50   -0.25     0.21    -15.97059042     18.47499716 
-2.50   -0.25     0.23    -15.51866929     21.02020185 
-2.00   -0.25     0.15    -14.97309763     12.23089759 
-2.00   -0.25     0.17    -15.33357265     14.05818985 
-2.00   -0.25     0.19    -15.39835772     16.14494973 
-2.00   -0.25     0.21    -15.15045573     18.47499716 
-2.00   -0.25     0.23    -14.58176085     21.02020184 
-1.50   -0.25     0.15    -14.51358010     12.23089759 
-1.50   -0.25     0.17    -14.83024553     14.05818985 
-1.50   -0.25     0.19    -14.83828912     16.14494972 
-1.50   -0.25     0.21    -14.51987075     18.47499716 
-1.50   -0.25     0.23    -13.86692157     21.02020184 
-1.00   -0.25     0.15    -14.15237550     12.23089759 
-1.00   -0.25     0.17    -14.44604735     14.05818985 
-1.00   -0.25     0.19    -14.42051961     16.14494972 
-1.00   -0.25     0.21    -14.05754469     18.47499716 
-1.00   -0.25     0.23    -13.34961885     21.02020184 
-0.50   -0.25     0.15    -13.87973213     12.23089759 
-0.50   -0.25     0.17    -14.16917367     14.05818985 
-0.50   -0.25     0.19    -14.13131002     16.14494972 
-0.50   -0.25     0.21    -13.74802596     18.47499716 
-0.50   -0.25     0.23    -13.01306393     21.02020184 
 0.00   -0.25     0.15    -13.68764318     12.23089759 
 0.00   -0.25     0.17    -13.99029937     14.05818985 
 0.00   -0.25     0.19    -13.96024489     16.14494972 
 0.00   -0.25     0.21    -13.58015416     18.47499716 
 0.00   -0.25     0.23    -12.84588362     21.02020184 
 0.50   -0.25     0.15    -13.56959712     12.23089759 
 0.50   -0.25     0.17    -13.90211255     14.05818985 
 0.50   -0.25     0.19    -13.89948796     16.14494972 
 0.50   -0.25     0.21    -13.54597916     18.47499716 
 0.50   -0.25     0.23    -12.84064609     21.02020183 
 1.00   -0.25     0.15    -13.52033459     12.23089759 
 1.00   -0.25     0.17    -13.89891634     14.05818985 
 1.00   -0.25     0.19    -13.94319860     16.14494972 
 1.00   -0.25     0.21    -13.63998184     18.47499716 
 1.00   -0.25     0.23    -12.99288282     21.02020184 
 1.50   -0.25     0.15    -13.53562821     12.23089759 
 1.50   -0.25     0.17    -13.97630006     14.05818985 
 1.50   -0.25     0.19    -14.08710128     16.14494972 
 1.50   -0.25     0.21    -13.85851433     18.47499716 
 1.50   -0.25     0.23    -13.30038482     21.02020183 
 2.00   -0.25     0.15    -13.61209201     12.23089759 
 2.00   -0.25     0.17    -14.13087286     14.05818985 
 2.00   -0.25     0.19    -14.32812491     16.14494972 
 2.00   -0.25     0.21    -14.19938051     18.47499716 
 2.00   -0.25     0.23    -13.76273189     21.02020184 
 2.50   -0.25     0.15    -13.74702130     12.23089759 
 2.50   -0.25     0.17    -14.36004970     14.05818985 
 2.50   -0.25     0.19    -14.66415259     16.14494972 
 2.50   -0.25     0.21    -14.66152207     18.47499716 
 2.50   -0.25     0.23    -14.38092428     21.02020183 
 3.00   -0.25     0.15    -13.93825648     12.23089759 
 3.00   -0.25     0.17    -14.66188121     14.05818985 
 3.00   -0.25     0.19    -15.09381401     16.14494972 
 3.00   -0.25     0.21    -15.24477473     18.47499715 
 3.00   -0.25     0.23    -15.15711043     21.02020183 
-3.00    0.00     0.15    -18.31863471     12.23089759 
-3.00    0.00     0.17    -19.18120033     14.05818985 
-3.00    0.00     0.19    -19.83380683     16.14494972 
-3.00    0.00     0.21    -20.26498815     18.47499716 
-3.00    0.00     0.23    -20.47054749     21.02020184 
-2.50    0.00     0.15    -17.36586213     12.23089759 
-2.50    0.00     0.17    -18.07129089     14.05818985 
-2.50    0.00     0.19    -18.53861047     16.14494972 
-2.50    0.00     0.21    -18.75276407     18.47499716 
-2.50    0.00     0.23    -18.70588315     21.02020184 
-2.00    0.00     0.15    -16.56996265     12.23089759 
-2.00    0.00     0.17    -17.16037335     14.05818985 
-2.00    0.00     0.19    -17.49226047     16.14494972 
-2.00    0.00     0.21    -17.54865456     18.47499716 
-2.00    0.00     0.23    -17.32035264     21.02020184 
-1.50    0.00     0.15    -15.91291986     12.23089759 
-1.50    0.00     0.17    -16.42195301     14.05818985 
-1.50    0.00     0.19    -16.65637753     16.14494972 
-1.50    0.00     0.21    -16.59786683     18.47499716 
-1.50    0.00     0.23    -16.23661508     21.02020183 
-1.00    0.00     0.15    -15.37876746     12.23089759 
-1.00    0.00     0.17    -15.83398437     14.05818985 
-1.00    0.00     0.19    -16.00141610     16.14494972 
-1.00    0.00     0.21    -15.86174275     18.47499715 
-1.00    0.00     0.23    -15.40501935     21.02020184 
-0.50    0.00     0.15    -14.95373173     12.23089759 
-0.50    0.00     0.17    -15.37843975     14.05818985 
-0.50    0.00     0.19    -15.50463259     16.14494972 
-0.50    0.00     0.21    -15.31242772     18.47499715 
-0.50    0.00     0.23    -14.79225013     21.02020184 
 0.00    0.00     0.15    -14.62618802     12.23089759 
 0.00    0.00     0.17    -15.04079532     14.05818985 
 0.00    0.00     0.19    -15.14859578     16.14494972 
 0.00    0.00     0.21    -14.92967989     18.47499715 
 0.00    0.00     0.23    -14.37548965     21.02020183 
 0.50    0.00     0.15    -14.38648398     12.23089759 
 0.50    0.00     0.17    -14.80948551     14.05818985 
 0.50    0.00     0.19    -14.92001132     16.14494972 
 0.50    0.00     0.21    -14.69877653     18.47499715 
 0.50    0.00     0.23    -14.13905655     21.02020183 
 1.00    0.00     0.15    -14.22670759     12.23089759 
 1.00    0.00     0.17    -14.67538216     14.05818985 
 1.00    0.00     0.19    -14.80879884     16.14494972 
 1.00    0.00     0.21    -14.60907502     18.47499715 
 1.00    0.00     0.23    -14.07233457     21.02020183 
 1.50    0.00     0.15    -14.14042947     12.23089759 
 1.50    0.00     0.17    -14.63132930     14.05818985 
 1.50    0.00     0.19    -14.80737546     16.14494972 
 1.50    0.00     0.21    -14.65299792     18.47499715 
 1.50    0.00     0.23    -14.16842227     21.02020183 
 2.00    0.00     0.15    -14.12246073     12.23089759 
 2.00    0.00     0.17    -14.67175372     14.05818985 
 2.00    0.00     0.19    -14.91008799     16.14494972 
 2.00    0.00     0.21    -14.82530283     18.47499715 
 2.00    0.00     0.23    -14.42322772     21.02020183 
 2.50    0.00     0.15    -14.16862597     12.23089759 
 2.50    0.00     0.17    -14.79233993     14.05818985 
 2.50    0.00     0.19    -15.11280371     16.14494972 
 2.50    0.00     0.21    -15.12253325     18.47499715 
 2.50    0.00     0.23    -14.83482629     21.02020183 
 3.00    0.00     0.15    -14.27558585     12.23089759 
 3.00    0.00     0.17    -14.98976565     14.05818985 
